Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
133, 6686.6, 0.4192079, 1.364227, 2.231231, 0.09933613, 0.005402351, 0.2037595, 0.1778395
134, 6736.5, 0.4487065, 1.47813, 1.810786, 0.0430332, 0.0040682, 0.2017536, 0.1904214
135, 6786.4, 0.4295554, 1.219758, 2.187877, 0.06406572, 0.004939651, 0.2003469, 0.1867367
136, 6836.3, 0.434231, 1.204562, 3.04898, 0.1253816, 0.004887104, 0.1989101, 0.1017173
137, 6886.2, 0.4246931, 1.020109, 1.86342, 0.1213, 0.002210649, 0.2261072, 0.1578074
138, 6936.1, 0.4296776, 1.317055, 2.126484, 0.08190631, 0.004170103, 0.2078761, 0.1692734
139, 6986, 0.4281752, 0.8202264, 1.520191, 0.09331658, 0.002675131, 0.2043418, 0.2038859
140, 7035.9, 0.4366881, 1.874552, 2.317904, 0.05536121, 0.005011148, 0.1988558, 0.1749943
141, 7085.8, 0.430885, 1.194988, 1.978079, 0.06925289, 0.0005987731, 0.2115093, 0.1806331
142, 7135.7, 0.4274097, 1.853522, 2.500868, 0.05869778, 0.005848309, 0.1987717, 0.1860299
143, 7185.6, 0.430028, 0.8739946, 1.87268, 0.0550766, 0.001433613, 0.2020231, 0.1818373
144, 7235.5, 0.4360314, 1.031698, 2.44308, 0.1690282, 0.0043762, 0.1939692, 0.166768
145, 7285.4, 0.4274971, 1.192477, 1.4221, 0.03128288, 0.001509668, 0.2088936, 0.1987645
146, 7335.3, 0.4433465, 1.466756, 2.217972, 0.06961881, 0.003857314, 0.2028991, 0.1732114
147, 7385.2, 0.4454152, 1.439111, 1.95427, 0.04021203, 0.004660214, 0.2020454, 0.1884505
148, 7435.1, 0.4399346, 1.499359, 3.01892, 0.1298147, 0.006175295, 0.2028819, 0.1245616
149, 7485, 0.4492505, 1.070209, 1.656419, 0.06066396, 0.003282434, 0.2014041, 0.1840922
150, 7534.9, 0.4440439, 1.527711, 2.669347, 0.1031389, 0.01363587, 0.1811541, 0.150138
151, 7584.8, 0.4304461, 1.622895, 2.857432, 0.0898459, 0.003415773, 0.2003138, 0.1221493
152, 7634.7, 0.4342658, 1.469137, 1.862484, 0.05680862, 0.003225928, 0.2018304, 0.1798489
153, 7684.6, 0.4393318, 1.297755, 2.500097, 0.09212116, 0.003828362, 0.2055628, 0.1742527
154, 7734.5, 0.450807, 1.345801, 2.088493, 0.03988462, 0.005678665, 0.2038787, 0.1888427
